Description	Project	Lab	Assay	Data Type	Validation Dataset	Experimental Factor	Replicates	Treatment	Organism	Cell Line	Strain	Tissue	Stage/Treatment	Date Data Submitted	Release Date	Status	Submission ID	GEO/SRA IDs	GFF Files
RNAseq - lin-35(n745) mid-L1 25dC 4.0hrs post-L1 genelets revised	Waterston	Waterston	RNA-seq	RNA profiling		Version=2	1		Caenorhabditis elegans		MT10430	whole organism	larva: L1 larva	2010-01-16	2010-02-05	released	2843	SRX004869	lin-35(n745)_mid-L1_25dC_4.0hrs_post-L1.confirmed_polya.gff3, lin-35(n745)_mid-L1_25dC_4.0hrs_post-L1.genelets.RNASEQ.ws170.gff3, lin-35(n745)_mid-L1_25dC_4.0hrs_post-L1.confirmed_splice_leaders.gff3, lin-35(n745)_mid-L1_25dC_4.0hrs_post-L1.confirmed_introns_all.gff3, lin-35(n745)_mid-L1_25dC_4.0hrs_post-L1.wormbase_transcripts.ws170.gff3
RNAseq - male mid-L4 dpy28(y1);him-8(e1489) 25dC 30hrs post-L1 genelets revised	Waterston	Waterston	RNA-seq	RNA profiling			1		Caenorhabditis elegans		CB4689	whole organism	larva: L4 larva male	2010-01-16	2010-02-05	released	2844	SRX004868	male_mid-L4_25dC_30hrs_post-L1.wormbase_transcripts.ws170.gff3, male_mid-L4_25dC_30hrs_post-L1.confirmed_splice_leaders.gff3, male_mid-L4_25dC_30hrs_post-L1.confirmed_introns_all.gff3, male_mid-L4_25dC_30hrs_post-L1.confirmed_polya.gff3, male_mid-L4_25dC_30hrs_post-L1.genelets.RNASEQ.ws170.gff3
RNAseq - mid-L1 20dC 4hrs post-L1 genelets revised	Waterston	Waterston	RNA-seq	RNA profiling			1		Caenorhabditis elegans		N2	whole organism	larva: L1 larva	2010-01-16	2010-02-11	released	2845	SRX004867	mid-L1_20dC_4hrs_post-L1.confirmed_splice_leaders.gff3, mid-L1_20dC_4hrs_post-L1.wormbase_transcripts.ws170.gff3, mid-L1_20dC_4hrs_post-L1.confirmed_polya.gff3, mid-L1_20dC_4hrs_post-L1.genelets.RNASEQ.ws170.gff3, mid-L1_20dC_4hrs_post-L1.confirmed_introns_all.gff3
RNAseq - mid-L2 25dC 14hrs post-L1 genelets revised	Waterston	Waterston	RNA-seq	RNA profiling			1		Caenorhabditis elegans		N2	whole organism	larva: L2 larva	2010-01-16	2010-02-11	released	2846	SRX001872	mid-L2_25dC_14hrs_post-L1.wormbase_transcripts.ws170.gff3, mid-L2_25dC_14hrs_post-L1.confirmed_introns_all.gff3, mid-L2_25dC_14hrs_post-L1.confirmed_polya.gff3, mid-L2_25dC_14hrs_post-L1.confirmed_splice_leaders.gff3, mid-L2_25dC_14hrs_post-L1.genelets.RNASEQ.ws170.gff3
RNAseq - mid-L3 25dC 25hrs post-L1 genelets revised	Waterston	Waterston	RNA-seq	RNA profiling			1		Caenorhabditis elegans		N2	whole organism	larva: L3 larva	2010-01-16	2010-02-05	released	2847	SRX001875	mid-L3_25dC_25hrs_post-L1.confirmed_introns_all.gff3, mid-L3_25dC_25hrs_post-L1.confirmed_splice_leaders.gff3, mid-L3_25dC_25hrs_post-L1.wormbase_transcripts.ws170.gff3, mid-L3_25dC_25hrs_post-L1.genelets.RNASEQ.ws170.gff3, mid-L3_25dC_25hrs_post-L1.confirmed_polya.gff3
RNAseq - mid-L4 25dC 36hrs post-L1 genelets revised	Waterston	Waterston	RNA-seq	RNA profiling			1		Caenorhabditis elegans		N2	whole organism	larva: L4 larva	2010-01-16	2010-02-12	released	2848	SRX001874	mid-L4_25dC_36hrs_post-L1.confirmed_introns_all.gff3, mid-L4_25dC_36hrs_post-L1.confirmed_polya.gff3, mid-L4_25dC_36hrs_post-L1.confirmed_splice_leaders.gff3, mid-L4_25dC_36hrs_post-L1.genelets.RNASEQ.ws170.gff3, mid-L4_25dC_36hrs_post-L1.wormbase_transcripts.ws170.gff3
	Waterston	Waterston	RNA-seq	RNA profiling			1	EnvironmentalTreatment=food:E. coli (OP50)food:Harposporiumfood:S. marcescens (Db11)	Caenorhabditis elegans		BA671, CB1370, CB1489, CB4689, JK1107, MT10430, N2	whole organism	mixed: L1 larva, L2 larva, L2d-dauer molt, L3 larva, L4 larva, L4 larva male, adult, blastula embryo, dauer larva, elongating embryo, embryo, enclosing embryo, fully-elongated embryo, gastrulating embryo, late cleavage stage embryo, newly molted young adult hermaphrodite, post dauer stage	2010-04-11	2010-10-01	released	2934	SRX001872, SRX001873, SRX001874, SRX001875, SRX004863, SRX004864, SRX004865, SRX004866, SRX004867, SRX004868, SRX004869, SRX008136, SRX008138, SRX008139, SRX008140, SRX011569, SRX014006, SRX014007, SRX014008, SRX014009, SRX014010	Adult_S_macescens_Db10_control_EcoliOP50_exposed_1_24hrs.genelets.RNASEQ.ws170.gff3, set.20090106.2_3_2_2_4_4_3_2_2.gff, set.20090921.2_3_2_2_4_3_3_2_2.ws180.gff, Aggregate_1003.confirmed_splice_leaders.ws170.gff3, Adult_Harposporium_control_EcoliOP50_exposed_2_24hrs.genelets.RNASEQ.ws170.gff3, set.20090106.2_3_2_2_5_3_3_2_2.gff, Aggregate_1003.confirmed_polya.ws170.gff3, mid-L3_25dC_25hrs_post-L1.genelets.RNASEQ.ws170.gff3, male_mid-L4_25dC_30hrs_post-L1.genelets.RNASEQ.ws170.gff3, mid-L4_25dC_36hrs_post-L1.genelets.RNASEQ.ws170.gff3, Aggregate_1003.genelets.ws170.gff3, early_embryo.genelets.RNASEQ.ws170.gff3, Adult_Harposporium_exposed_2_24hrs.genelets.RNASEQ.ws170.gff3, set.20090106.2_3_2_2_4_3_3_2_2.gff, set.20090106.2_3_2_2_3_2_2_2_2.gff, mid-L2_25dC_14hrs_post-L1.genelets.RNASEQ.ws170.gff3, Adult_spe-9_23dC_8days_post-L4_molt.genelets.RNASEQ.ws170.gff3, Young_Adult_25dC_46hrs_post-L1.genelets.RNASEQ.ws170.gff3, mid-L1_20dC_4hrs_post-L1.genelets.RNASEQ.ws170.gff3, dauer_exit_daf-2_25dC_91hrs_15dC_12hrs_post-L1.genelets.RNASEQ.ws170.gff3, Aggregate_1003.confirmed_introns_all.ws170.gff3, UTRome_ABI.WS180.CEUP1.20090422.gff3, Aggregate_1003.integrated_transcripts.ws170.gff3, dauer_daf-2_25dC_91hrs_post-L1.genelets.RNASEQ.ws170.gff3, late_embryo_20dC_4.5hrs_post-early_embryo.genelets.RNASEQ.ws170.gff3, embryo_him-8_20dC_post-L1.genelets.RNASEQ.ws170.gff3, lin-35(n745)_mid-L1_25dC_4.0hrs_post-L1.genelets.RNASEQ.ws170.gff3, dauer_entry_daf-2_25dC_48hrs_post-L1.genelets.RNASEQ.ws170.gff3, Adult_S_macescens_Db10_exposed_1_24hrs.genelets.RNASEQ.ws170.gff3, Aggregate_1003.integrated_genelets.ws170.gff3, L4_soma_JK1107_no_DNaseI.genelets.RNASEQ.ws170.gff3
RNAseq - 1003 aggregate 19 stages - non-redundant exons	Waterston	Waterston	RNA-seq	RNA profiling			1	EnvironmentalTreatment=food:E. coli (OP50)food:Harposporiumfood:S. marcescens (Db11)	Caenorhabditis elegans		BA671, CB1370, CB1489, CB4689, JK1107, MT10430, N2	whole organism	mixed: L1 larva, L2 larva, L2d-dauer molt, L3 larva, L4 larva, L4 larva male, adult, blastula embryo, dauer larva, elongating embryo, embryo, enclosing embryo, fully-elongated embryo, gastrulating embryo, late cleavage stage embryo, newly molted young adult hermaphrodite, post dauer stage	2010-04-11	2011-05-19	released	2935	SRX001872, SRX001873, SRX001874, SRX001875, SRX004863, SRX004864, SRX004865, SRX004866, SRX004867, SRX004868, SRX004869, SRX008136, SRX008138, SRX008139, SRX008140, SRX011569, SRX014006, SRX014007, SRX014008, SRX014009, SRX014010	Aggregate_1003.integrated_transcripts.ws170.gff3, Aggregate_1003.nrexon.v1.gff3
RNAseq - Adult spe-9 23dC 8days post-L4 molt genelets revised 100320	Waterston	Waterston	Computational annotation	gene model			COMPUTATIONAL ANNOTATION		Caenorhabditis elegans		BA671	whole organism	larva: 7-10 days post-L4 adult hermaphrodite, Adult spe-9(hc88) 23dC 8 days post-L4 molt, adult	2010-05-26	2010-11-29	released	2947	SRX008136	Adult_spe-9_23dC_8days_post-L4_molt.genelets.ws170.gff3, Adult_spe-9_23dC_8days_post-L4_molt.confirmed_introns_all.gff3
RNAseq - dauer daf-2 25dC 91hrs post-L1 genelets revised 100320	Waterston	Waterston	Computational annotation	gene model			COMPUTATIONAL ANNOTATION		Caenorhabditis elegans		CB1370	whole organism	larva: dauer exit daf-2(e1370) 25dC 91hrs 15dC 12hrs, dauer larva, post dauer stage	2010-05-26	2010-11-29	released	2948	SRX008138	dauer_daf-2_25dC_91hrs_post-L1.confirmed_introns_all.gff3, dauer_daf-2_25dC_91hrs_post-L1.genelets.ws170.gff3
RNAseq - dauer entry daf-2 25dC 48hrs post-L1 genelets revised 100320	Waterston	Waterston	Computational annotation	gene model			COMPUTATIONAL ANNOTATION		Caenorhabditis elegans		CB1370	whole organism	larva: L2d-dauer molt, dauer entry daf-2(el370) 25dC 48 hrs post-L1	2010-05-26	2010-11-29	released	2949	SRX008139	dauer_entry_daf-2_25dC_48hrs_post-L1.confirmed_introns_all.gff3, dauer_entry_daf-2_25dC_48hrs_post-L1.genelets.ws170.gff3
RNAseq - dauer exit daf-2 25dC 91hrs 15dC 12hrs post-L1 genelets revised 100320	Waterston	Waterston	Computational annotation	gene model			COMPUTATIONAL ANNOTATION		Caenorhabditis elegans		CB1370	whole organism	larva: dauer exit daf-2(e1370) 25dC 91hrs 15dC 12hrs, post dauer stage	2010-05-26	2010-11-29	released	2950	SRX008140	dauer_exit_daf-2_25dC_91hrs_15dC_12hrs_post-L1.genelets.ws170.gff3, dauer_exit_daf-2_25dC_91hrs_15dC_12hrs_post-L1.confirmed_introns_all.gff3
RNAseq - early embryo genelets revised 100320	Waterston	Waterston	Computational annotation	gene model			COMPUTATIONAL ANNOTATION		Caenorhabditis elegans		N2	whole organism	embryo: blastula embryo, early embryo, gastrulating embryo	2010-05-26	2010-11-29	released	2951	SRX004863, SRX004864	early_embryo.confirmed_introns_all.gff3, early_embryo.genelets.ws170.gff3
RNAseq - embryo him-8 20dC post-L1 genelets revised 100320	Waterston	Waterston	Computational annotation	gene model			COMPUTATIONAL ANNOTATION		Caenorhabditis elegans		CB1489	whole organism	embryo: embryo, embryo him-8(e1480) 20dC	2010-05-26	2010-11-29	released	2952	SRX011569	embryo_him-8_20dC_post-L1.confirmed_introns_all.gff3, embryo_him-8_20dC_post-L1.genelets.ws170.gff3
RNAseq - lin-35(n745) mid-L1 25dC 4.0hrs post-L1 genelets revised 100320	Waterston	Waterston	Computational annotation	gene model			COMPUTATIONAL ANNOTATION		Caenorhabditis elegans		MT10430	whole organism	larva: L1 larva, lin-35(n745) larva mid-L1 25dC 4.0 hrs post-L1	2010-05-26	2010-11-29	released	2954	SRX004869	lin-35(n745)_mid-L1_25dC_4.0hrs_post-L1.genelets.ws170.gff3, lin-35(n745)_mid-L1_25dC_4.0hrs_post-L1.confirmed_introns_all.gff3
RNAseq - mid-L1 20dC 4hrs post-L1 genelets revised 100320	Waterston	Waterston	Computational annotation	gene model			COMPUTATIONAL ANNOTATION		Caenorhabditis elegans		N2	whole organism	larva: L1 larva, larva mid-L1 25dC 4.0 hrs post-L1	2010-05-26	2010-11-29	released	2955	SRX004867	mid-L1_20dC_4hrs_post-L1.confirmed_introns_all.gff3, mid-L1_20dC_4hrs_post-L1.genelets.ws170.gff3
RNAseq - mid-L2 25dC 17.75hrs post-L1 genelets revised 100320	Waterston	Waterston	Computational annotation	gene model			COMPUTATIONAL ANNOTATION		Caenorhabditis elegans		N2	whole organism	larva: L2 larva, mid-L2	2010-05-26	2011-04-12	released	2956	SRX001872	mid-L2_25dC_14hrs_post-L1.genelets.ws170.gff3, mid-L2_25dC_14hrs_post-L1.confirmed_introns_all.gff3
RNAseq - mid-L3 25dC 26.75hrs post-L1 genelets revised 100320	Waterston	Waterston	Computational annotation	gene model			COMPUTATIONAL ANNOTATION		Caenorhabditis elegans		N2	whole organism	larva: L3 larva, mid-L3	2010-05-26	2010-11-30	released	2957	SRX001875	mid-L3_25dC_25hrs_post-L1.confirmed_introns_all.gff3, mid-L3_25dC_25hrs_post-L1.genelets.ws170.gff3
RNAseq - male mid-L4 dpy28(y1);him-8(e1489) 25dC 30hrs post-L1 genelets revised 100320	Waterston	Waterston	Computational annotation	gene model			COMPUTATIONAL ANNOTATION		Caenorhabditis elegans		CB4689	whole organism	larva: L4 larva male, Male larva mid-L4 25dC 30 hrs post-L1	2010-05-26	2010-11-29	released	2959	SRX004868	male_mid-L4_25dC_30hrs_post-L1.confirmed_introns_all.gff3, male_mid-L4_25dC_30hrs_post-L1.genelets.ws170.gff3
RNAseq - Young Adult 25dC 46hrs post-L1 genelets revised 100320	Waterston	Waterston	Computational annotation	gene model			COMPUTATIONAL ANNOTATION		Caenorhabditis elegans		N2	whole organism	larva: Young Adult, newly molted young adult hermaphrodite	2010-05-26	2010-11-29	released	2960	SRX001873	Young_Adult_25dC_46hrs_post-L1.confirmed_introns_all.gff3, Young_Adult_25dC_46hrs_post-L1.genelets.ws170.gff3
RNAseq - Adult Harposporium control EcoliOP50 exposed 2 24hrs genelets revised 100320	Waterston	Waterston	Computational annotation	gene model			COMPUTATIONAL ANNOTATION	EnvironmentalTreatment=food:E. coli (OP50)	Caenorhabditis elegans		N2	whole organism	larva: Adult_Harposporium_control_EcoliOP50_exposed_2_24hrs, adult, newly molted young adult hermaphrodite	2010-05-26	2010-11-29	released	2961	SRX014007	Adult_Harposporium_control_EcoliOP50_exposed_2_24hrs.confirmed_introns_all.gff3, Adult_Harposporium_control_EcoliOP50_exposed_2_24hrs.genelets.ws170.gff3
RNAseq - Adult Harposporium exposed 2 24hrs genelets revised 100320	Waterston	Waterston	Computational annotation	gene model			COMPUTATIONAL ANNOTATION	EnvironmentalTreatment=food:Harposporium	Caenorhabditis elegans		N2	whole organism	larva: Adult_Harposporium_exposed_2_24hrs, adult, newly molted young adult hermaphrodite	2010-05-26	2010-11-29	released	2962	SRX014006	Adult_Harposporium_exposed_2_24hrs.confirmed_introns_all.gff3, Adult_Harposporium_exposed_2_24hrs.genelets.ws170.gff3
RNAseq - Adult S macescens Db10 control EcoliOP50_exposed 1 24hrs genelets revised 100320	Waterston	Waterston	Computational annotation	gene model			COMPUTATIONAL ANNOTATION	EnvironmentalTreatment=food:E. coli (OP50)	Caenorhabditis elegans		N2	whole organism	larva: Adult_S_macescens_Db10_control_EcoliOP50_exposed_1_24hrs, adult, newly molted young adult hermaphrodite	2010-05-26	2010-11-29	released	2963	SRX014009	Adult_S_macescens_Db10_control_EcoliOP50_exposed_1_24hrs.genelets.ws170.gff3, Adult_S_macescens_Db10_control_EcoliOP50_exposed_1_24hrs.confirmed_introns_all.gff3
RNAseq - Adult S macescens Db10 exposed 1 24hrs genelets revised 100320	Waterston	Waterston	Computational annotation	gene model			COMPUTATIONAL ANNOTATION	EnvironmentalTreatment=food:S. marcescens (Db11)	Caenorhabditis elegans		N2	whole organism	larva: Adult_S_macescens_Db10_exposed_1_24hrs, adult, newly molted young adult hermaphrodite	2010-05-26	2010-11-29	released	2964	SRX014008	Adult_S_macescens_Db10_exposed_1_24hrs.confirmed_introns_all.gff3, Adult_S_macescens_Db10_exposed_1_24hrs.genelets.ws170.gff3
RNAseq - L4 soma JK1107 no DNaseI genelets revised 100320	Waterston	Waterston	Computational annotation	gene model			COMPUTATIONAL ANNOTATION		Caenorhabditis elegans		JK1107	whole organism	larva: L4 larva, L4_soma_JK1107_no_DNaseI	2010-05-26	2010-11-29	released	2965	SRX014010	L4_soma_JK1107_no_DNaseI.confirmed_introns_all.gff3, L4_soma_JK1107_no_DNaseI.genelets.ws170.gff3
SL Acceptor Site Confirmation 2010-06-04	Waterston	Green	RACE	gene model		Reactions=78	1		Caenorhabditis elegans		N2	whole organism	mixed: L1 larva, L2 larva, L3 larva, L4 larva, adult, all stages, dauer larva, embryo	2010-06-04	2011-02-17	released	2968		set.20101124.2_3_2_2_4_3_3_2_3_3.gff
JL00006_ZFP1_N2_MXEMB	Lieb	Lieb	ChIP-chip	chromatin		Target=zfp-1;AbName=JL00006_ZFP1;Array=40bp;ArrayPlatform=Nimblegen	1		Caenorhabditis elegans		N2	whole organism	embryo: proliferating embryo	2010-06-24	2011-01-26	released	2969	GSE27727, GSM686470, GSM686471, GSM686472	JL00006_ZFP1_N2_MXEMB_1_2_4B_combined.peaks.gff, JL00006_ZFP1_N2_MXEMB_4_B_peaks.gff, JL00006_ZFP1_N2_MXEMB_1_EE2_13805601.peaks.gff, JL00006_ZFP1_N2_MXEMB_2_EE1_peaks.gff
SDQ4129_Y39G10AR18_N2_MXEMB	Lieb	Lieb	ChIP-chip	chromatin		Target=Y39G10AR.18;AbName=SDQ4129_Y39G10AR18;Array=40bp;ArrayPlatform=Nimblegen	1		Caenorhabditis elegans		N2	whole organism	embryo: proliferating embryo	2010-06-25	2011-05-02	released	2970		computed_peaks/SDQ4129_Y39G10AR18_N2_MXEMB_2_A_DS_peaks.gff3, computed_peaks/SDQ4129_Y39G10AR18_N2_MXEMB_1_A+2_A_DS_peaks.gff3, computed_peaks/SDQ4129_Y39G10AR18_N2_MXEMB_1_A_peaks.gff3
Snyder_GEI-11_GFP_L3	Snyder	Snyder	ChIP-seq	chromatin		Target=gei-11;AbName=eGFP	3		Caenorhabditis elegans		OP179	whole organism	larva: L3 larva	2010-07-23		uploaded	3066		Snyder_GEI-11_GFP_L3_combined_peaks.GFF3
Snyder_CEH-26_GFP_LE	Snyder	Snyder	ChIP-seq	chromatin		Target=ceh-26;AbName=eGFP	3		Caenorhabditis elegans		OP500	whole organism	embryo: elongating embryo, gastrulating embryo, late cleavage stage embryo	2010-07-23	2011-05-05	released	3068		Snyder_CEH-26_GFP_LE_combined_peaks.GFF3, Snyder_CEH-26_GFP_LE_rep2.GFF3, Snyder_CEH-26_GFP_LE_rep1.GFF3
Snyder_AHA-1_GFP_L4	Snyder	Snyder	ChIP-seq	chromatin		Target=aha-1;AbName=eGFP	3		Caenorhabditis elegans		OP124	whole organism	larva: L4 larva	2010-07-23		reviewing	3069		Snyder_AHA-1_GFP_L4_combined_peaks.GFF3, Snyder_AHA-1_GFP_L4_rep1_peaks.GFF3, Snyder_AHA-1_GFP_L4_rep2_peaks.GFF3
Snyder_MEF-2_GFP_L1	Snyder	Snyder	ChIP-seq	chromatin		Target=mef-2;AbName=eGFP	3		Caenorhabditis elegans		OP301	whole organism	larva: L1 larva	2010-07-23	2011-05-05	released	3071		Snyder_MEF-2_GFP_L1_combined_peaks.GFF3, Snyder_MEF-2_GFP_L1_rep1.GFF3, Snyder_MEF-2_GFP_L1_rep2.GFF3
Snyder_PIE_EFL-1_GFP_YA	Snyder	Snyder	ChIP-seq	chromatin		Target=efl-1;AbName=eGFP	3		Caenorhabditis elegans		YL445	whole organism	larva: newly molted young adult hermaphrodite	2010-07-23	2011-05-05	released	3072		Snyder_Ppie1_EFL1_GFP_YA_rep1.GFF3, Snyder_Ppie1_EFL1_GFP_YA_rep2.GFF3, Snyder_Ppie1_EFL1_GFP_YA_combined_peaks.GFF3
Snyder_PIE_DPL-1_GFP_YA	Snyder	Snyder	ChIP-seq	chromatin		Target=dpl-1;AbName=eGFP	3		Caenorhabditis elegans		YL390	whole organism	larva: newly molted young adult hermaphrodite	2010-07-23	2011-05-06	released	3073		Snyder_Ppie1_DPL1_GFP_YA_rep1.GFF3, Snyder_Ppie1_DPL1_GFP_YA_rep2.GFF3, Snyder_Ppie1_DPL1_GFP_YA_combined_peaks.GFF3
Snyder_Pefl1_EFL1_GFP_L1	Snyder	Snyder	ChIP-seq	chromatin		Target=efl-1;AbName=eGFP	3		Caenorhabditis elegans		YL424	whole organism	larva: L1 larva	2010-07-23	2011-05-06	released	3074		Snyder_Pefl1_EFL1_GFP_L1_combined_peaks.GFF3, Snyder_Pefl1_EFL1_GFP_L1_rep1.GFF3, Snyder_Pefl1_EFL1_GFP_L1_rep2.GFF3
Snyder_Pdpl1_DPL1_GFP_L1	Snyder	Snyder	ChIP-seq	chromatin		Target=dpl-1;AbName=eGFP	3		Caenorhabditis elegans		YL425	whole organism	larva: L1 larva	2010-07-23	2011-05-05	released	3075		Snyder_Pdpl1_DPL1_GFP_L1_combined_peaks.GFF3, Snyder_Pdpl1_DPL1_GFP_L1_rep1.GFF3, Snyder_Pdpl1_DPL1_GFP_L1_rep2.GFF3
Snyder_CES1_GFP_L1	Snyder	Snyder	ChIP-seq	chromatin		Target=ces-1;AbName=eGFP	3		Caenorhabditis elegans		OP174	whole organism	larva: L1 larva	2010-07-23	2011-05-05	released	3076		Snyder_CES1_GFP_L1_rep1.GFF3, Snyder_CES1_GFP_L1_rep2.GFF3, Snyder_CES1_GFP_L1_combined_peaks.GFF3
Snyder_R02D3.7_GFP_L4	Snyder	Snyder	ChIP-seq	chromatin		Target=R02D3.7;AbName=eGFP	3		Caenorhabditis elegans		OP218	whole organism	larva: L4 larva	2010-07-23		uploaded	3077		Snyder_R02D3.7_GFP_L4_combined_peaks.GFF3
Snyder_LIN15B_GFP_L4	Snyder	Snyder	ChIP-seq	chromatin		Target=lin-15B;AbName=eGFP	3		Caenorhabditis elegans		OP184	whole organism	larva: L4 larva	2010-07-23	2011-05-05	released	3078		Snyder_LIN15B_GFP_L4_rep2.GFF3, Snyder_LIN15B_GFP_L4_rep1.GFF3, Snyder_LIN15B_GFP_L4_combined_peaks.GFF3
Snyder_NHR11_GFP_L2	Snyder	Snyder	ChIP-seq	chromatin		Target=nhr-11;AbName=eGFP	3		Caenorhabditis elegans		OP305	whole organism	larva: L2 larva	2010-07-23	2011-05-05	released	3079		Snyder_NHR11_GFP_L2_rep1.GFF3, Snyder_NHR11_GFP_L2_combined_peaks.GFF3, Snyder_NHR11_GFP_L2_rep2.GFF3
Snyder_CES1_GFP_L3	Snyder	Snyder	ChIP-seq	chromatin		Target=Integrated;AbName=eGFP	3		Caenorhabditis elegans		OP174	whole organism	larva: L3 larva	2010-07-23		uploaded	3081		Snyder_CES1_GFP_L3_combined_peaks.GFF3
Snyder_SEA2_GFP_L3	Snyder	Snyder	ChIP-seq	chromatin		Target=sea-2;AbName=eGFP	3		Caenorhabditis elegans		OP193	whole organism	larva: L3 larva	2010-07-23	2011-05-09	released	3082		Snyder_SEA2_GFP_L3_rep1.GFF3, Snyder_SEA2_GFP_L3_rep2.GFF3, Snyder_SEA2_GFP_L3_combined_peaks.GFF3
Snyder_DAF12_GFP_L3	Snyder	Snyder	ChIP-seq	chromatin		Target=daf-12;AbName=eGFP	3		Caenorhabditis elegans		OP167	whole organism	larva: L3 larva	2010-07-31	2011-05-09	released	3147		Snyder_DAF12_GFP_L3_rep1.GFF3, Snyder_DAF12_GFP_L3_combined_peaks.GFF3, Snyder_DAF12_GFP_L3_rep2.GFF3
Snyder_F16B12.6_GFP_L1	Snyder	Snyder	ChIP-seq	chromatin		Target=F16B12.6;AbName=eGFP	3		Caenorhabditis elegans		OP114	whole organism	larva: L1 larva	2010-07-31	2011-05-09	released	3148		Snyder_F16B12.6_GFP_L1_combined_peaks.GFF3, Snyder_F16B12.6_GFP_L1_rep2.GFF3, Snyder_F16B12.6_GFP_L1_rep1.GFF3
Snyder_GEI-11_GFP_L2	Snyder	Snyder	ChIP-seq	chromatin		Target=gei-11;AbName=eGFP	3		Caenorhabditis elegans		OP179	whole organism	larva: L2 larva	2010-07-31	2011-05-09	released	3149		Snyder_GEI-11_GFP_L2_rep2.GFF3, Snyder_GEI-11_GFP_L2_combined_peaks.GFF3, Snyder_GEI-11_GFP_L2_rep1.GFF3
AB2621_H3K79ME3361576_N2_MXEMB	Lieb	Lieb	ChIP-chip	chromatin		Target=his-2;AbName=AB2621 H3K79me3:361576;Array=40bp;ArrayPlatform=Nimblegen	1		Caenorhabditis elegans		N2	whole organism	embryo: proliferating embryo	2010-08-11	2011-01-31	released	3151	GSE27778, GSM686614, GSM686615	computed_peaks/AB2621_H3K79ME3361576_N2_MXEMB_1_EE4_peaks.gff3, computed_peaks/AB2621_H3K79ME3361576_N2_MXEMB_1_EE4+2_peaks.gff3, computed_peaks/AB2621_H3K79ME3361576_N2_MXEMB_2_peaks.gff3
AB46540_NIGG_N2_MXEMB	Lieb	Lieb	ChIP-chip	chromatin		Target=N/A (negative control IgG);AbName=AB46540_NIgG;Array=40bp;ArrayPlatform=Nimblegen	1		Caenorhabditis elegans		N2	whole organism	embryo: proliferating embryo	2010-08-23	2011-01-31	released	3153	GSE26200, GSM644511, GSM644512	computed_peaks/AB46540_NIGG_N2_MXEMB_1_A_peaks.gff3, computed_peaks/AB46540_NIGG_N2_MXEMB_1_A+2_A_EE4_peaks.gff3, computed_peaks/AB46540_NIGG_N2_MXEMB_2_A_EE4_peaks.gff3
MXEMB_N2_RNA_EXPRESSION	Lieb	Lieb	tiling array: RNA	RNA profiling		Array=60;ArrayPlatform=Nimblegen	1		Caenorhabditis elegans		N2	whole organism	embryo: proliferating embryo	2010-08-23	2011-01-31	released	3154	GSE26201, GSM645263, GSM645264, GSM645265, GSM645266	OID18975_All_norm_calls_underscore2dot_CE4coord.gff
Snyder_EOR-1_L3_GFP	Snyder	Snyder	ChIP-seq	chromatin		Target=eor-1;AbName=eGFP	3		Caenorhabditis elegans		OP81	whole organism	larva: L3 larva	2009-10-13	2011-04-12	released	3155		Snyder_EOR-1_GFP_L3_combined_peaks.GFF3, Snyder_EOR-1_GFP_L3_rep2.GFF3, Snyder_EOR-1_GFP_L3_rep1.GFF3
Snyder_ALR-1_L2_GFP	Snyder	Snyder	ChIP-seq	chromatin		Target=alr-1;AbName=eGFP	3		Caenorhabditis elegans		OP200	whole organism	larva: L2 larva	2009-10-13	2011-02-09	released	3156	GSE25787, GSM700163, GSM700164, GSM700165, GSM700166, GSM700167	Snyder_ALR-1_GFP_L2_rep2.GFF3, Snyder_ALR-1_GFP_L2_combined_peaks.GFF3, Snyder_ALR-1_GFP_L2_rep1.GFF3
Snyder_PES-1_L4_GFP	Snyder	Snyder	ChIP-seq	chromatin		Target=pes-1;AbName=eGFP	3		Caenorhabditis elegans		OP87	whole organism	larva: L4 larva	2009-10-15	2011-04-12	released	3157	GSE26152, GSM700168, GSM700169, GSM700170, GSM700171, GSM700172, GSM700173, GSM700174, GSM700175, GSM700176	Snyder_PES-1_GFP_L4_combined_peaks.GFF3, Snyder_PES-1_GFP_L4_rep2.GFF3, Snyder_PES-1_GFP_L4_rep1.GFF3
Snyder_PHA-4_L2_GFP	Snyder	Snyder	ChIP-seq	chromatin		Target=pha-4;AbName=eGFP	3		Caenorhabditis elegans		OP37	whole organism	larva: L2 larva	2009-10-15	2011-02-09	released	3158	GSE26153, GSM700177, GSM700178, GSM700179, GSM700180, GSM700181	Snyder_PHA-4_GFP_L2_rep2.GFF3, Snyder_PHA-4_GFP_L2_rep1.GFF3, Snyder_PHA-4_GFP_L2_combined_peaks.GFF3
Snyder_EGL-5_L3_GFP	Snyder	Snyder	ChIP-seq	chromatin		Target=egl-5;AbName=eGFP	3		Caenorhabditis elegans		OP54	whole organism	larva: L3 larva	2009-10-15	2011-04-12	released	3159	GSE25796, GSM700182, GSM700183, GSM700184, GSM700185, GSM700186, GSM700187, GSM700188, GSM700189, GSM700190	Snyder_EGL-5_GFP_L3_rep1.GFF3, Snyder_EGL-5_GFP_L3_rep2.GFF3, Snyder_EGL-5_GFP_L3_combined_peaks.GFF3
